industry,Average_expenditure_in_Canadian_dollars
Shelter,15744
Income_taxes,14878
Transportation,13232
Food_expenditures,8379
Personal_insurance_payments_and_pension_contributions,5707
Household_operations,4548
Recreation,4009
Clothing_and_accessories,3292
Health_care,2497
Gifts_of_money_support_payments_and_charitable_contributions,2464
Household_furnishings_and_equipment,2381
Miscellaneous_expenditures,2062
Education,1635
Tobacco_products_and_alcoholic_beverages,1230
Personal_care,1156
Games_of_chance,288
Reading_materials_and_other_printed_matter,170
