Response,Purchase,Refinance
Q2_'20,348,580
Q1_'20,257,306
Q4_'19,314,382
Q3_'19,375,276
Q2_'19,355,146
Q1_'19,228,97
Q4_'18,297,103
Q3_'18,346,113
Q2_'18,334,118
Q1_'18,214,128
Q4_'17,283,168
Q3_'17,334,155
Q2_'17,322,145
Q1_'17,204,148
Q4_'16,258,265
Q3_'16,305,332
Q2_'16,300,242
Q1_'16,190,161
Q4_'15,220,197
Q3_'15,280,158
Q2_'15,249,226
Q1_'15,154,195
Q4_'14,179,133
Q3_'14,220,120
Q2_'14,213,123
Q1_'14,148,127
Q4_'13,173,153
Q3_'13,218,252
Q2_'13,212,360
Q1_'13,131,346
Q4_'12,144,453
Q3_'12,151,399
Q2_'12,154,307
Q1_'12,139,297
