Baseball_player,Number_of_games_played
Pete_Rose,3562
Carl_Yastrzemski,3308
Hank_Aaron,3298
Rickey_Henderson,3081
Ty_Cobb,3034
Eddie_Murray,3026
Stan_Musial,3026
Cal_Ripken,3001
Willie_Mays,2992
Barry_Bonds,2986
Dave_Winfield,2973
Omar_Vizquel,2968
Rusty_Staub,2951
Adrian_Beltre,2933
Brooks_Robinson,2896
Albert_Pujols,2862
Robin_Yount,2856
Craig_Biggio,2850
Al_Kaline,2834
Rafael_Palmeiro,2831
Harold_Baines,2830
Eddie_Collins,2826
Reggie_Jackson,2820
Frank_Robinson,2808
Honus_Wagner,2794
Tris_Speaker,2789
Alex_Rodriguez,2784
Tony_Perez,2777
Derek_Jeter,2747
Mel_Ott,2730
