Year,Men,Women
Rio_2016,27.09,29.29
London_2012,27.51,30.35
Beijing_2008,27.02,29.91
Athens_2004,27.09,30.41
Sydney_2000,27.3,30.29
Atlanta_1996,27.12,31.03
Barcelona_1992,27.78,31.1
Seoul_1988,27.36,31.09
Los_Angeles_1984,27.79,0
Moscow_1980,27.71,0
Montreal_1976,27.67,0
Munich_1972,27.64,0
Mexico_City_1968,29.46,0
Tokyo_1964,28.41,0
Rome_1960,28.54,0
Melbourne_1956,28.76,0
Helsinki_1952,29.28,0
London_1948,29.99,0
Berlin_1936,30.26,0
Los_Angeles_1932,30.19,0
Amsterdam_1928,30.31,0
Paris_1924,30.39,0
Antwerp_1920,31.76,0
Stockholm_1912,31.35,0
