Latest_available_time_period_in_brackets,Male,Female
Mexico_(2009),75,280
Slovenia_(2000-01),114,212
India_(1999),19,298
Portugal_(1999),51,253
Poland_(2003-04),93,194
Turkey_(2006),21,261
Belgium_(2005),97,167
Italy_(2008),51,213
Australia_(2006),93,168
France_(2009),98,158
Germany_(2001-02),90,164
Denmark_(2001),107,145
South_Africa_(2010),68,183
Hungary_(1999-2000),65,186
Austria_(2008-09),79,170
Estonia_(2009-2010),89,147
Finland_(2009-10),91,137
Japan_(2011),24,199
New_Zealand_(2009-10),76,142
Canada_(2010),83,133
Spain_(2009-10),76,127
China_(2008),48,155
United_States_(2014),76,124
United_Kingdom_(2005),66,133
Netherlands_(2005-06),63,134
Ireland_(2005),49,135
Sweden_(2010),79,95
Norway_(2010),61,104
Korea_(2009),21,138
