NAICS_category,Number_of_jobs
Health_care_and_social_assistance,37875
Retail_trade,28025
Construction,24190
Public_administration,20425
Educational_services,19185
Accommodation_and_food_services,15520
Other_services_(except_public_administration),11090
Transportation_and_warehousing,9515
Manufacturing,7770
Finance_and_insurance,7765
Professional_scientific_and_technical_services,7750
Administrative_and_support_waste_management_and_remediation_services,6990
Mining_quarrying_and_oil_and_gas_extraction,6860
Wholesale_trade,6450
Real_estate_and_rental_and_leasing,3235
Utilities,3070
Information_and_cultural_industries,2995
Agriculture_forestry_fishing_and_hunting,2800
Arts_entertainment_and_recreation,2650
Holding_companies,790
