State,Number_of_school_shootings
California,180
Texas,149
Florida,103
Illinois,78
Michigan,76
Ohio,66
Pennsylvania,65
New_York,55
Georgia,54
Tennessee,51
Louisiana,51
Maryland,50
Alabama,49
North_Carolina,49
Missouri,42
Washington,38
Indiana,30
South_Carolina,30
Virginia,29
District_of_Columbia,27
Arkansas,21
Colorado,21
Connecticut,20
Kentucky,19
Mississippi,19
Wisconsin,18
Oregon,17
New_Jersey,16
Massachusetts,15
Nevada,15
Utah,15
Arizona,15
Minnesota,14
Oklahoma,14
Iowa,14
Kansas,13
New_Mexico,12
Nebraska,10
Delaware,10
Montana,8
New_Hampshire,7
Rhode_Island,6
South_Dakota,5
Alaska,5
Idaho,3
Hawaii,3
West_Virginia,3
Vermont,2
Maine,2
Wyoming,2
North_Dakota,1
