State,Number_of_children
California,23340
Texas,13431
Florida,12893
Indiana,9455
Arizona,7069
Ohio,6408
Illinois,5446
Michigan,5212
Massachusetts,4538
Oregon,3567
Georgia,3267
South_Carolina,3245
Iowa,2805
Louisiana,2660
Minnesota,2444
West_Virginia,2351
Oklahoma,2308
Nevada,2288
Wisconsin,2066
Alabama,2061
Washington,2045
Missouri,2018
Montana,1862
Tennessee,1851
Colorado,1677
Arkansas,1657
Mississippi,1601
New_Jersey,1448
Virginia,1373
Kentucky,1370
Connecticut,1312
Utah,1207
New_Mexico,1086
Nebraska,1043
Idaho,960
Maryland,918
Rhode_Island,863
Maine,831
South_Dakota,741
Alaska,632
Hawaii,629
Wyoming,523
New_Hampshire,512
North_Dakota,452
Kansas,332
District_of_Columbia,290
Puerto_Rico,277
Vermont,174
Delaware,168
