Response,Percentage_of_population
Chiapas,29.7
Guerrero,26.8
Oaxaca,23.3
Veracruz,17.7
Tabasco,12.3
Campeche,9.8
Puebla,8.6
Morelos,7.4
National_average,7.4
San_Luis_Potosí,7.3
Yucatán,6.7
Hidalgo,6.1
Michoacán,6.1
Nayarit,5.9
State_of_Mexico,4.9
Guanajuato,4.2
Quintana_Roo,3.5
Zacatecas,3.4
Tamaulipas,3.3
Tlaxcala,3.1
Jalisco,3
Sinaloa,2.7
Sonora,2.6
Chihuahua,2.6
Colima,2.4
Durango,2.2
Querétaro,2
Mexico_City,1.7
Baja_California,1.6
Baja_California_Sur,1.5
Coahuila,1.4
Aguascalientes,1.2
Nuevo_León,0.5
