Charity,Donor_dependency_rate
Americares_Foundation,127
Disabled_American_Veterans,111
Teach_for_America,110
Heart_to_Heart_International,109
American_Cancer_Society,108
Doctors_Without_Borders_USA,106
American_Jewish_Joint_Distribution_Committee,105
American_Kidney_Fund,105
Humane_Society_of_the_United_States,104
Susan_G._Komen,104
Matthew_25:_Ministries,104
Alzheimer's_Association,104
Feed_the_Children,104
Ronald_McDonald_House_Charities,103
PATH,102
Wounded_Warrior_Project,102
Christian_Broadcasting_Network_&_Operation_Blessing,102
Population_Services_International,101
Marine_Toys_for_Tots_Foundation,101
Catholic_Relief_Services,101
Food_for_the_Poor,101
