Year,Number_of_persons_tested
27_Jan,20
28_Jan,8
29_Jan,5
30_Jan,1
31_Jan,3
1_Feb,1
2_Feb,5
3_Feb,5
4_Feb,5
5_Feb,0
6_Feb,3
7_Feb,6
8_Feb,0
9_Feb,2
10_Feb,8
11_Feb,2
12_Feb,1
13_Feb,1
14_Feb,0
15_Feb,1
16_Feb,1
17_Feb,2
18_Feb,0
19_Feb,2
20_Feb,0
21_Feb,0
22_Feb,1
23_Feb,3
24_Feb,12
25_Feb,14
26_Feb,23
27_Feb,35
28_Feb,23
29_Feb,7
1_Mar,11
2_Mar,51
3_Mar,78
4_Mar,67
5_Mar,76
6_Mar,111
7_Mar,193
8_Mar,141
9_Mar,265
10_Mar,165
11_Mar,458
12_Mar,537
13_Mar,845
14_Mar,986
15_Mar,1028
16_Mar,1319
17_Mar,1294
18_Mar,1756
19_Mar,2259
20_Mar,2121
21_Mar,1882
22_Mar,1801
23_Mar,2291
24_Mar,3062
25_Mar,4107
26_Mar,4633
27_Mar,5359
28_Mar,4224
29_Mar,2848
30_Mar,5159
31_Mar,6661
1_Apr,6102
2_Apr,6673
3_Apr,7398
4_Apr,5837
5_Apr,4812
6_Apr,6435
7_Apr,8173
8_Apr,8469
9_Apr,8180
10_Apr,5702
11_Apr,4891
12_Apr,3250
13_Apr,3215
14_Apr,6173
15_Apr,8476
16_Apr,8381
17_Apr,8288
18_Apr,5605
19_Apr,4027
20_Apr,6567
21_Apr,8341
22_Apr,8818
23_Apr,7901
24_Apr,7129
25_Apr,4446
26_Apr,3381
27_Arp,7754
28_Apr,8741
29_Apr,7322
30_Apr,7396
May_1,4413
May_2,3880
May_3,3881
May_4,7627
May_5,9447
May_6,8083
May_7,7582
May_8,4557
May_9,3782
May_10,4051
May_11,7805
May_12,8709
May_13,7687
May_14,6887
May_15,6703
May_16,4258
May_17,3494
May_18,7398
May_19,8325
May_20,7508
May_21,7287
May_22,7729
May_23,5046
May_24,3610
May_25,7420
May_26,7230
May_27,6872
May_28,6011
May_29,6098
May_30,3547
May_31,2141
Jun_1,5721
Jun_2,6478
Jun_3,5313
Jun_4,5011
Jun_5,4173
Jun_6,2150
Jun_7,2127
Jun_8,4684
Jun_9,4552
Jun_10,4069
Jun_11,3738
Jun_12,3730
Jun_13,1664
Jun_14,1121
Jun_15,3673
Jun_16,4023
Jun_17,4036
Jun_18,4386
Jun_19,3555
Jun_20,1677
Jun_21,1313
Jun_22,3910
Jun_23,4567
Jun_24,4287
Jun_25,4047
Jun_26,4533
Jun_27,2554
Jun_28,2423
Jun_29,4485
Jun_30,4412
Jul_1,4593
Jul_2,4665
Jul_3,5109
Jul_4,1687
Jul_9,4682
Jul_10,5333
Jul_11,2321
Jul_12,1787
Jul_13,4424
Jul_14,4802
Jul_15,4694
Jul_16,4730
Jul_17,4727
Jul_18,2334
Jul_19,1830
Jul_20,5785
Jul_21,6089
Jul_22,6609
Jul_23,5557
Jul_24,6238
Jul_25,3337
Jul_26,1772
Jul_27,6516
Jul_28,7817
Jul_29,7300
Jul_30,7528
Jul_31,8137
Aug_1,4686
Aug_2,2645
Aug_3,7672
Aug_4,8332
Aug_5,6870
Aug_6,7298
Aug_7,9136
Aug_8,5456
Aug_9,2856
Aug_10,6305
Aug_11,8290
Aug_12,7741
Aug_13,7170
Aug_14,7762
Aug_15,4776
Aug_16,2872
Aug_17,7174
Aug_18,7578
Aug_19,7516
Aug_20,8137
Aug_21,9658
Aug_22,5012
Aug_23,2397
Aug_28,10764
Aug_29,6566
Aug_30,3944
Aug_31,9341
Sep_1,11099
Sep_2,11708
Sep_3,11041
Sep_4,13593
Sep_5,7466
Sep_10,16297
Sep_15,20300
Sep_20,10179
Sep_25,23112
Sep_30,21077
Oct_1,23897
Oct_2,23629
Oct_3,15201
Oct_4,7752
Oct_5,17714
Oct_6,22984
Oct_7,23962
Oct_8,25052
Oct_9,27724
Oct_10,18069
Oct_11,11502
Oct_12,22029
Oct_13,31563
Oct_14,34786
Oct_15,34776
Oct_16,38719
Oct_17,29276
Oct_18,17239
Oct_19,31115
Oct_20,40554
Oct_21,45182
Oct_22,46391
Oct_23,45229
Oct_24,39190
Oct_25,21563
Oct_26,35401
Oct_27,47469
Oct_28,40074
Oct_29,42529
Oct_30,46796
Oct_31,36287
Nov_1,20638
Nov_2,32710
Nov_3,43310
Nov_4,45470
Nov_5,43210
Nov_6,40312
Nov_7,26223
Nov_8,13726
Nov_9,30459
Nov_10,37169
Nov_11,32932
Nov_12,31062
Nov_13,31217
Nov_14,16190
Nov_15,9014
Nov_16,26000
Nov_17,17453
Nov_18,22275
