Response,Share_of_respondents
Restaurant/bar/café,42.55
Retailer_(supermarket_mall_electronics_store_etc.),45.48
Recreation_(movie_theater_bowling_alley_sporting_event_etc.),24.59
Financial_(bank_credit_card_statement_ATM),35.27
Exercise_(gym_pool_hiking_trail_track_etc.),19.4
Business_office/Place_of_work,24.87
Medical_(doctor’s_office_prescription_drugs_hospital),33.55
Travel_(airport_taxi_ticket_etc.),20.56
On_a_consumer_product_(on_packaging_wrappers_physical_hardware_as_part_of_install_etc.),33.64
Other_(please_specify),5.61
