association_football_venue,Capacity
Signal_Iduna_Park_(Borussia_Dortmund),81365
Allianz_Arena_(FC_Bayern_Munich),75024
Olympiastadion_(Hertha_BSC_Berlin),74400
Veltins_Arena_(FC_Schalke_04),62271
Mercedes-Benz_Arena_(VfB_Stuttgart),60449
Borussia-Park_(Borussia_Mönchengladbach),54022
Deutsche_Bank_Park_(Eintracht_Frankfurt),51500
Red_Bull_Arena_(Leipzig),42558
Wohninvest_Weserstadion_(SV_Werder_Bremen),42100
Opel_Arena_(1._FSV_Mainz_05),34000
WWK_Arena_(FC_Augsburg),30660
WWK_ARENA_(FC_Augsburg),30660
BayArena_(Bayer_04_Leverkusen),30210
PreZero_Arena_(TSG_Hoffeneim),30150
Volkswagen_Arena_(VfL_Wolfsburg),30000
SchücoArena_(Arminia_Bielefeld),26515
Schwarzwald_Stadion_(SC_Freiburg),24000
An_der_Alten_Försterei_(1._FC_Union_Berlin),22012
