Response,Percentage_of_population
West_Virginia,19.1
Arkansas,17.7
Kentucky,17.4
Maine,16.6
Mississippi,16.5
Alabama,16.3
Oklahoma,16.3
New_Mexico,15.8
Louisiana,15.4
Tennessee,15.4
Missouri,14.5
Vermont,14.5
South_Carolina,14.4
Michigan,14.2
Pennsylvania,14.1
Rhode_Island,14.1
Ohio,14.1
Oregon,14
Kansas,13.7
Indiana,13.6
Florida,13.5
Idaho,13.5
Montana,13.4
Arizona,13.3
North_Carolina,13.3
Delaware,13.2
New_Hampshire,13
Wyoming,12.8
U.S.,12.6
Washington,12.6
Alaska,12.6
Nevada,12.5
Georgia,12.1
South_Dakota,12.1
Virginia,12
Nebraska,11.8
Iowa,11.7
Massachusetts,11.6
Hawaii,11.6
Wisconsin,11.6
District_of_Columbia,11.6
Texas,11.4
Maryland,11.4
New_York,11.4
Illinois,11.1
Minnesota,11
North_Dakota,10.9
Connecticut,10.8
Colorado,10.7
California,10.4
New_Jersey,10.2
Utah,9.6
