Month,Cumulative_number_of_cases
Dec_15,628577
Dec_14,621944
Dec_13,613487
Dec_12,603603
Dec_11,594523
Dec_10,585685
Dec_9,576965
Dec_8,570437
Dec_7,564291
Dec_6,557224
Dec_5,550445
Dec_4,543924
Dec_3,538050
Dec_2,532444
Dec_1,527523
Nov_30,523478
Nov_29,518910
Nov_28,513325
Nov_27,508866
Nov_26,503123
Nov_25,498653
Nov_24,493744
Nov_23,489818
Nov_22,484648
Nov_21,479260
Nov_20,473190
Nov_19,467257
Nov_18,461612
Nov_17,457003
Nov_16,452701
Nov_15,447871
Nov_14,442458
Nov_13,436544
Nov_12,430453
Nov_11,424819
Nov_10,419412
Nov_9,414745
Nov_8,410065
Nov_7,404401
Nov_6,397730
Nov_5,390488
Nov_4,383523
Nov_3,375890
Nov_2,368147
Nov_1,359861
Oct_31,351178
Oct_30,341174
Oct_29,330255
Oct_28,319991
Oct_27,311889
Oct_26,301597
Oct_25,291254
Oct_24,281052
Oct_23,272401
Oct_22,262405
Oct_21,253134
Oct_20,244391
Oct_19,236226
Oct_18,228234
Oct_17,220052
Oct_16,211938
Oct_15,203954
Oct_14,196163
Oct_13,188876
Oct_12,181498
Oct_11,174653
Oct_10,168280
Oct_9,161781
Oct_8,155810
Oct_7,149471
Oct_6,144999
Oct_5,140471
Oct_4,135892
Oct_3,131889
Oct_2,127922
Oct_1,124097
Sep_30,120845
Sep_29,117551
Sep_28,114540
Sep_27,111626
Sep_26,105918
Sep_25,103141
Sep_24,100493
Sep_23,98142
Sep_22,95899
Sep_21,93684
Sep_20,91841
Sep_19,89959
Sep_18,87987
Sep_17,86237
Sep_16,84697
Sep_15,83321
Sep_14,82023
Sep_13,80937
Sep_12,79706
Sep_11,78438
Sep_10,77615
Sep_9,76475
Sep_8,75512
Sep_7,74715
Sep_6,73790
Sep_5,73136
Sep_4,72392
Sep_3,71971
Sep_2,71057
Sep_1,70596
Aug_31,70071
Aug_30,69563
Aug_29,69063
Aug_28,68556
Aug_27,68046
Aug_26,67670
Aug_25,67476
Aug_24,67062
Aug_23,66490
Aug_22,66034
Aug_21,65526
Aug_20,64992
Aug_19,64463
Aug_18,63911
Aug_17,63424
Aug_16,62943
Aug_15,62437
Aug_14,61785
Aug_13,60572
Aug_12,59918
Aug_11,59139
Aug_10,58987
Aug_9,57987
Aug_8,57501
Aug_7,56982
Aug_6,56381
Aug_5,55955
Aug_4,55773
Aug_3,55395
Aug_2,54579
Aug_1,54301
Jul_31,53963
Jul_30,53621
Jul_29,53374
Jul_28,53151
Jul_27,52946
Jul_26,52732
Jul_25,52595
Jul_24,52404
Jul_23,52241
Jul_22,52073
Jul_21,52083
Jul_20,51920
Jul_19,51735
Jul_18,51591
Jul_17,51465
Jul_16,51360
Jul_15,51261
Jul_14,51153
Jul_13,51100
Jul_12,51029
Jul_11,50928
Jul_10,50847
Jul_9,50805
Jul_8,50753
Jul_7,50701
Jul_6,50664
Jul_5,50628
Jul_4,50555
Jul_3,50494
Jul_2,50419
Jul_1,50342
Jun_30,50280
Jun_29,50230
Jun_28,50154
Jun_27,50081
Jun_26,50012
Jun_25,49921
Jun_24,49803
Jun_23,49720
Jun_22,49650
Jun_21,49581
Jun_20,49483
Jun_19,49392
Jun_18,49319
Jun_17,49187
Jun_16,49068
Jun_15,48928
Jun_14,48763
Jun_13,48620
Jun_12,48441
Jun_11,48231
Jun_10,48067
Jun_9,47883
Jun_8,47719
Jun_7,47574
Jun_6,47335
Jun_5,47152
Jun_4,46942
Jun_3,46856
Jun_2,46753
Jun_1,46545
May_31,46442
May_30,46257
May_29,46126
May_28,45950
May_27,45768
May_26,45578
May_25,45445
May_24,45236
May_23,45064
May_22,44888
May_21,44700
May_20,44447
May_19,44249
May_18,44141
May_17,43995
May_16,43870
May_15,43681
May_14,43481
May_13,43211
May_12,42984
May_11,42788
May_10,42627
May_9,42382
May_8,42093
May_7,41774
May_6,41319
May_5,41087
May_4,40770
May_3,40571
May_2,40236
May_1,39791
Apr_30,39316
Apr_29,38802
Apr_28,38416
Apr_27,38245
Apr_26,37845
Apr_25,37190
Apr_24,36535
Apr_23,35729
Apr_22,34842
Apr_21,34134
Apr_20,33405
Apr19,32655
Apr_18,31589
Apr_17,30449
Apr_16,29214
Apr_15,28153
April_14,27419
Apr_13,26551
Apr_12,25587
Apr_11,24413
Apr_10,23097
Apr_9,21762
Apr_8,20549
Apr_7,19580
Apr_6,18803
Apr_5,17851
Apr_4,16627
Apr_3,15723
Apr_2,14697
Apr_1,13614
Mar_31,12595
Mar_30,11750
Mar_29,10866
Mar_28,9762
Mar_27,8603
Mar_26,7431
Mar_25,6412
Mar_24,5560
Mar_23,4749
Mar_22,4204
Mar_21,3631
Mar_20,2994
Mar_19,2460
Mar_18,2051
Mar_17,1705
Mar_16,1413
Mar_15,1135
Mar_14,959
Mar_13,804
Mar_12,614
Mar_11,503
Mar_10,382
Mar_9,321
Mar_8,265
Mar_7,188
Mar_6,128
Mar_5,82
Mar_3,38
Mar_2,23
Mar_1,9
Feb_29,6
Feb_28,2
Feb_27,1
