Month,Infected,Deaths
Nov_20,62580,995
Nov_12,50870,686
Nov_3,37382,412
Oct_20,14477,192
Oct_12,8832,169
Sep_6,3190,130
Aug_30,2883,128
Aug_23,2665,128
Aug_13,2369,124
Aug_8,2249,120
Aug_2,2181,117
Jul_26,2087,117
Jul_18,1946,111
Jul_12,1849,111
Jul_9,1793,111
Jul_4,1700,111
Jul_3,1679,111
Jul_2,1649,111
Jul_1,1633,111
Jun_30,1612,111
Jun_29,1600,111
Jun_28,1585,111
Jun_27,1581,111
Jun_26,1572,111
Jun_25,1558,111
Jun_24,1547,111
Jun_23,1541,111
Jun_22,1534,111
Jun_21,1521,109
Jun_20,1520,109
Jun_19,1519,109
Jun_18,1513,109
Jun_17,1511,109
Jun_16,1503,109
Jun_15,1499,109
Jun_14,1496,109
Jun_13,1495,109
Jun_12,1492,109
Jun_11,1490,109
Jun_10,1488,109
Jun_9,1488,109
Jun_8,1486,108
Jun_7,1485,108
Jun_6,1485,108
Jun_5,1484,108
Jun_4,1479,108
Jun_3,1477,108
Jun_2,1477,108
Jun_1,1475,108
May_31,1473,108
May_30,1473,108
May_29,1473,108
May_28,1473,108
May_27,1473,108
May_26,1471,107
May_25,1469,106
May_24,1469,106
May_23,1468,106
May_22,1468,106
May_21,1468,106
May_20,1468,106
May_19,1468,104
May_18,1467,103
May_17,1466,103
May_16,1466,103
May_15,1465,103
May_14,1465,103
May_13,1464,103
May_12,1463,102
May_11,1461,101
May_10,1460,99
May_9,1457,99
May_8,1454,99
May_7,1450,99
May_6,1449,99
May_5,1448,97
May_4,1445,96
May_3,1439,92
May_2,1439,90
May_1,1439,90
Apr_30,1434,90
Apr_29,1429,87
Apr_28,1418,84
Apr_27,1409,84
Apr_26,1403,83
Apr_25,1397,82
Apr_24,1389,82
Apr_23,1374,82
Apr_22,1367,79
Apr_21,1354,79
Apr_20,1345,77
Apr_19,1336,77
Apr_18,1341,74
Apr_17,1328,70
Apr_16,1315,66
Apr_15,1279,61
Apr_14,1259,61
Apr_13,1231,56
Apr_12,1223,55
Apr_11,1216,53
Apr_10,1199,50
Apr_9,1172,45
Apr_8,1136,43
Apr_7,1103,40
Apr_6,1067,36
Apr_5,1033,30
Apr_4,1009,28
Apr_3,989,22
Apr_2,948,20
Apr_1,911,16
Mar_31,855,15
Mar_30,814,13
Mar_29,763,11
Mar_28,737,11
Mar_27,691,9
Mar_26,638,6
Mar_25,577,5
Mar_24,528,4
Mar_23,478,3
Mar_22,439,2
Mar_21,402,1
Mar_20,368,1
Mar_19,339,1
Mar_18,315,1
Mar_17,283,1
Mar_16,272,1
Mar_15,247,1
Mar_14,215,1
Mar_13,174,0
Mar_12,127,0
Mar_11,77,0
Mar_10,47,0
Mar_9,29,0
Mar_8,19,0
Mar_7,13,0
Mar_6,9,0
Mar_5,6,0
Mar_4,1,0
