Deal,Deal_value_in_million_euros
SIG_Combibloc_Group_bought_by_Onex_Corporation_(Switzerland_Manufacturing),3750
Nordic_Aviation_Capital/_NAC_bought_by_EQT_Partners_AB_Kirkbi_Invest_A/S_(Denmark_Aerospace),3000
Verallia_bought_by_Apollo_Global_Management_LLC_BPI_France_SA_(France_Manufacturing),2945
Douglas_Holding_bought_by_CVC_Capital_Partners_Limited_(Germany_Retail_and_consumer_products),2800
New_Look_bought_by_Brait_Private_Equity_(UK_Retail_and_consumer_products),2613
Securitas_Direct_Verisure_Group_bought_by_Hellman_&_Friedman_LLC_(Sweden_Industrial_products_and_services),2500
Orange_Communicatons_bought_by_NJJ_Capital_(Switzerland_Telecommunications),2327
Constantia_Packaging_bought_by_Wendel_SA_(Austria_Manufacturing),2300
ICBPI_bought_by_Bain_Capital_Advent_International_Clessidra_SGR_SpA_(Italy_Financial_services),2150
Sivantos/_Siemens_Audiology_Solutions_bought_by_EQT_Partners_AB_(Germany_Health_care),2150
