specialty,Male,Female
All_specialties,64.8,35.2
Allergy_&_immunology,61.6,38.4
Anatomic/clinical_pathology,62.2,37.8
Anesthesiology,74.5,25.5
Cardiovascular_disease,85.9,14.1
Child_&_adolescent_psychiatry,47.3,52.7
Critical_care_medicine,73.9,26.1
Dermatology,51.1,48.9
Emergency_medicine,72.4,27.6
Endocrinology_diabetes_&_metabolism,51,49
Family_medicine/general_practice,60,40
Gastroenterology,82.4,17.6
General_surgery,79.4,20.6
Geriatric_medicine,47.4,52.6
Hematology_&_oncology,66.7,33.3
Infectious_disease,58.9,41.1
Internal_medicine,62.1,37.9
Internal_medicine/pediatrics,47.2,52.8
Interventional_cardiology,92.3,7.7
Neonatal-perinatal_medicine,48.9,51.1
Nephrology,71.7,28.3
Neurological_surgery,91.6,8.4
Neurology,70.6,29.4
Neuroradiology,80.5,19.5
Obstetrics_&_gynecology,43,57
Ophthalmology,74.7,25.3
Orthopedic_surgery,94.7,5.3
Otolaryngology,82.9,17.1
Pain_medicine_&_pain_management,81.6,18.4
Pediatric_cardiology,64.1,35.9
Pediatric_hematology/oncology,46.6,53.4
Pediatrics,36.7,63.3
Physical_medicine_&_rehabilitation,64.7,35.3
Plastic_surgery,84,16
Preventive_medicine,66.2,33.8
Psychiatry,60.9,39.1
Pulmonary_disease,88.2,11.8
Radiation_oncology,72.8,27.2
Radiology_&_diagnostic_radiology,74.4,25.6
Rheumatology,55.3,44.7
Sports_medicine_(orthopedic_surgery),93.4,6.6
Thoracic_surgery,93,7
Urology,91.3,8.7
Vascular_&_interventional_radiology,90.5,9.5
Vascular_surgery,86.9,13.1
