Latest_available_time_period_in_brackets,Male,Female
Finland_(2009-10),37,30
Slovenia_(2000-01),35,28
France_(2009),37,24
Austria_(2008-09),33,27
Italy_(2008),34,25
Estonia_(2009-2010),32,23
Korea_(2009),31,23
Germany_(2001-02),27,27
Canada_(2010),32,21
Norway_(2010),27,24
Belgium_(2005),29,18
China_(2008),24,22
Denmark_(2001),25,20
Poland_(2003-04),28,17
United_Kingdom_(2005),24,19
Netherlands_(2005-06),22,20
Ireland_(2005),23,17
Australia_(2006),23,16
Hungary_(1999-2000),24,15
United_States_(2014),24,13
Spain_(2009-10),24,12
Sweden_(2010),18,16
New_Zealand_(2009-10),19,15
Japan_(2011),17,14
Portugal_(1999),20,6
Mexico_(2009),15,8
Turkey_(2006),10,4
South_Africa_(2010),9,2
India_(1999),9,1
