Country,2011,2012,2013,2014,2015,2016,2017,2018,2019
United_States,108,135,168,200,229,245,269,285,305
Canada,47,51,45,46,48,51,57,64,63
China,0,0,0,0,0,3,12,22,38
Australia,18,23,25,26,26,27,28,29,31
United_Kingdom,0,0,0,2,6,9,9,12,14
New_Zealand,1,2,4,5,5,5,6,7,7
Japan,0,0,0,0,0,0,2,5,7
Germany,0,0,0,0,1,1,2,5,6
South_Korea,0,0,0,0,0,2,3,4,5
Singapore,0,0,0,1,2,3,3,3,4
France,0,0,0,0,0,0,0,1,3
Sweden,0,0,0,0,0,0,0,1,2
Ireland,0,0,0,0,0,0,1,1,1
Switzerland,0,0,0,0,0,1,1,1,1
Puerto_Rico,0,0,0,0,1,1,1,0,0
Hong_Kong,0,0,0,0,2,3,3,0,0
