city_of_the_United_States,Average_price_per_ounce_in_U.S._dollars
Aurora_Colorado,192$
Colorado_Springs_Colorado,205$
Salem_Oregon,207$
Portland_Oregon,211$
Eugene_Oregon,213$
Spokane_Oregon,216$
Medford_Oregon,216$
Bend_Oregon,217$
Denver_Colorado,219$
Vancouver_Washington,223$
Tacoma_Washington,231$
Inglewood_California,237$
Seattle_Washington,240$
Escondido_California,250$
Boulder_Colorado,253$
Mesa_Arizona,259$
Torrance_California,260$
Santa_Clarita_California,269$
Carlsbad_California,270$
Surprise_Arizona,270$
