Response,Share_of_respondents
Oral_sex,80.7
Reciprocal_masturbation,67
Watch_porno_videos_alone,61.2
Usage_of_obscene_language_during_sexual_intercourse,46.9
Sexting_(sending_pictures_on_smarthphones_with_explicit_sexual_content),37.5
Anal_sex,33.1
Watch_porno_videos_with_the_partner,25.2
Erotic_play_with_objects_food_beverages,24.4
Take_pictures_or_videos_during_sexual_intercourse,16.5
Fantasize_with_the_partner_about_other_partners,16.5
Sexual_intercourse_with_three_or_more_people,13.1
Bondage/sadomasochism,12.5
