Country,Number_of_days
Greece,20
Lithuania,20
Latvia,20
Liechtenstein,21
Slovenia,22
Croatia,22
Bulgaria,22
Sri_Lanka,23
Austria,23
Serbia,23
Georgia,23
Slovakia,24
Hungary,24
Poland,26
Belize,26
Cyprus,28
Azerbaijan,29
Jordan,30
Bosnia_and_Herzegovina,33
Malta,33
Luxembourg,34
Switzerland,34
Tunisia,34
Czechia,36
Estonia,36
Portugal,38
Germany,39
North_Macedonia,40
Ukraine,40
Iceland,41
Palestine,42
Uganda,44
Montenegro,45
Albania,45
Romania,46
Armenia,46
Lebanon,47
Myanmar,48
Nepal,49
Morocco,49
Malaysia,52
Syria,53
Russia,60
Kenya,61
Libya,62
Mozambique,63
Botswana,63
Jamaica,65
Paraguay,68
Costa_Rica,72
Argentina,73
Angola,73
Turkey,74
Iran,75
Guyana,77
Moldova,78
Israel,78
Cape_Verde,79
Rwanda,80
Bahamas,81
Uruguay,82
Trinidad_and_Tobago,85
Indonesia,86
Kosovo,91
Venezuela,92
Philippines,92
Togo,97
Oman,97
India,98
Ecuador,98
Ethiopia,99
Namibia,104
Colombia,105
Uzbekistan,107
Papua_New_Guinea,108
Japan,109
Suriname,112
Bolivia,112
Zimbabwe,113
World,113
Iraq,114
Belarus,115
Maldives,115
Australia,117
Bahrain,118
Mexico,119
Gambia,120
El_Salvador,121
South_Africa,121
Eswatini,123
Bangladesh,123
Vietnam,124
Panama,125
Guatemala,126
Kazakhstan,126
Algeria,127
Honduras,127
Zambia,130
Madagascar,130
Lesotho,130
Saudi_Arabia,130
Dominican_Republic,133
Kuwait,134
Brazil,137
United_States,139
Peru,140
Malawi,141
Ghana,141
Senegal,145
Guinea,147
Congo,147
Sudan,148
Kyrgyzstan,149
South_Korea,150
Chile,150
Afghanistan,156
Benin,158
Liberia,158
Haiti,160
Egypt,160
Qatar,164
Democratic_Republic_of_Congo,164
Equatorial_Guinea,165
Nigeria,166
Pakistan,166
Nicaragua,167
Cote_d'Ivoire,167
Yemen,168
Guinea-Bissau,168
United_Arab_Emirates,171
Mauritania,174
Central_African_Republic,174
Gabon,179
Comoros,179
South_Sudan,179
Cameroon,182
Mali,185
Djibouti,189
France,194
Canada,202
Sao_Tome_and_Principe,203
Tajikistan,204
Sierra_Leone,206
Somalia,208
Italy,208
Chad,211
Belgium,212
Sweden,216
United_Kingdom,216
Niger,221
Cuba,224
Finland,225
Netherlands,225
Denmark,226
Singapore,228
Tanzania,229
Spain,230
Ireland,233
Andorra,234
Norway,235
New_Zealand,237
Burkina_Faso,240
Antigua_and_Barbuda,242
Barbados,248
Thailand,249
Mauritius,257
San_Marino,258
Taiwan,259
China,296
