Month,Index_of_services
Jan_'19,105.0
Dec_'17,104.8
Nov_'17,104.7
Oct_'17,104.2
Sep_'17,104.2
Aug_'17,104.2
Jul_'17,104.1
Jun_'17,104.1
May_'17,103.9
Apr_'17,103.6
Mar_'17,103.7
Feb_'17,103.4
Jan_'17,103.6
Dec_'16,103.6
Nov_'16,103.4
Oct_'16,103.3
Sep_'16,103.2
Aug_'16,102.9
Jul_'16,102.5
Jun_'16,102.2
May_'16,102.0
Apr_'16,102.0
Mar_'16,101.6
Feb_'16,102.0
Jan_'16,101.5
Dec_'15,107.6
Nov_'15,107.0
Oct_'15,106.5
Sep_'15,106.4
Aug_'15,105.8
Jul_'15,105.9
Jun_'15,105.9
May_'15,105.4
Apr_'15,105.2
Mar_'15,105.2
Feb_'15,105.0
Jan_'15,104.8
Dec_'14,105.1
Nov_'14,104.9
Oct_'14,104.8
Sep_'14,104.1
Aug_'14,103.8
Jul_'14,103.7
