Month,Index_number_of_sales_per_week
Jun_20,82.5
May_20,21.2
Apr_20,30.6
Mar_20,74.3
Feb_20,104.0
Jan_20,92.3
Dec_19,103.9
Nov_19,96.8
Oct_19,101.2
Sep_19,88.4
Aug_19,84.9
Jul_19,95.4
Jun_19,94.9
May_19,94.6
Apr_19,100.9
Mar_19,93.5
Feb_19,84.6
Jan_19,96.7
Dec_18,96.0
Nov_18,100.9
Oct_18,99.1
Sep_18,122.8
Aug_18,119.4
Jul_18,117.1
Jun_18,127.3
May_18,122.5
Apr_18,114.7
Mar_18,116.1
Feb_18,111.0
Jan_18,120.2
Dec_17,115.2
Nov_17,111.3
Oct_17,126.9
Sep_17,101.8
Aug_17,121.7
Jul_17,118.7
Jun_17,109.7
May_17,118.6
Apr_17,105.8
Mar_17,117.4
Feb_17,116.5
Jan_17,103.3
Dec_16,101.0
Nov_16,105.1
Oct_16,99.5
Sep_16,94.1
Aug_16,94.8
July_16,100.4
June_16,87.1
May_16,92.7
April_16,105.7
Mar_16,101.9
Feb_16,111.0
Jan_16,110.6
