general_insurance_companies_in_the_United_Kingdom_(UK),General_insurance_gross_written_premiums_in_million_GBP
AVIVA_plc,4439
AXA_UK_plc,3189
Direct_Line_Group,3099
RSA_Insurance_Group_plc,2856
Zurich_Insurance_Group_Ltd_(Zurich),2615
Allianz_Insurance_plc,2351
Ageas_Insurance_Limited,1821
AIG_Europe_Limited,1551
Bupa_Insurance_Limited,1495
Liverpool_Victoria_Friendly_Society_Limited,1394
National_Farmers_Union_Mutual_Insurance_Society_Ltd,1272
Centrica_Plc,1023
QBE_Holdings_(EO)_Limited,1021
Lloyds_Banking_Group_plc,866
Admiral_Group_plc,809
Swiss_Reinsurance_Company_Limited_(Zurich),539
esure_insurance_Limited,518
Hastings_Insurance_Group_Limited,496
Covea_Insurance_plc,445
Simply_Health,393
