Response,6-24_years,25+_years
My_friends_and/or_family_participate_in_outdoor_activities,54,35
I_wanted_to_try_something_new.,38,39
Outdoor_activities_help_me_stay_fit_and_healthy.,25,39
Outdoor_activities_bring_my_family_together_and_strengthen_family_ties.,23,23
Excercising_outdoors_is_more_fun/motivating_than_excercise_indoors.,22,30
Outdoor_activities_are_affordable.,17,27
Outdoor_activities_are_close_to_my_home.,15,21
I_was_introduced_to_outdoor_activities_at_school,14,3
Outdoor_activities_help_me_relax_and_manage_stress.,11,31
Outdoor_activities_give_me_a_chance_to_get_back_to_nature.,11,25
My_kids_are_the_right_age_now.,8,17
I_was_pressured_by_others.,5,7
I_saw_an_article_show_or_video.,2,3
