Month,Inflation_rate
Oct_'20,6.4
Sep_'20,7.3
Aug_'20,7.9
Jul_'20,7.9
Jun_'20,8
May_'20,8.7
Apr_'20,8.9
Mar_'20,7.7
Feb_'20,7
Jan_'20,6.9
Dec_'19,5.7
Nov_'19,5.2
Oct_'19,5
Sep_'19,4.8
Aug_'19,5.3
Jul_'19,5.8
Jun_'19,5.6
May_'19,5.1
Apr_'19,5
Mar_'19,5.2
Feb_'19,5
Jan_'19,3.8
Dec_'18,4.5
Nov_'18,4.2
Oct_'18,4.5
Sep_'18,4.6
Aug_'18,3.9
Jul_'18,3.3
Jun_'18,3.1
May_'18,3.8
Apr_'18,4.1
Mar_'18,4.1
Feb_'18,3.8
Jan_'18,4.5
Dec_'17,3.4
Nov_'17,3.4
Oct_'17,3.2
Sep_'17,3
Aug_'17,3.2
Jul_'17,3.3
Jun_'17,3.1
May_'17,2.5
Apr_'17,1.9
Mar_'17,2
Feb_'17,1.7
Jan_'17,1.1
Dec_'16,1
Nov_'16,0.4
Oct_'16,0
Sep_'16,0.5
Aug_'16,0.3
Jul_'16,-0.2
Jun_'16,-0.9
May_'16,-0.4
Apr_'16,0.6
Mar_'16,0.7
Feb_'16,1.3
Jan_'16,1.4
Dec_'15,2.2
Nov_'15,2
Oct_'15,1.7
Sep_'15,0.8
Aug_'15,0.9
Jul_'15,0.9
Jun_'15,1.4
May_'15,1.2
