Year,Expedia,Travelocity_(Expedia),Orbitz_(Expedia),Priceline,TripAdvisor,All_Others,Category_average
2002,80,76,76,71,0,77,77
2003,78,76,77,71,0,77,77
2004,76,76,75,73,0,77,76
2005,79,75,74,72,0,79,77
2006,78,74,75,72,0,76,76
2007,75,73,73,73,0,79,75
2008,77,75,74,72,0,77,75
2009,79,75,76,76,0,78,77
2010,79,77,75,73,0,79,78
2011,77,79,76,76,0,79,78
2012,76,75,76,74,0,76,76
2013/2014,76,74,77,75,0,78,77
2015,77,75,75,75,0,78,78
2016,77,78,77,81,0,79,79
2017,80,77,78,77,0,80,79
2018,78,80,81,78,0,78,78
2019,79,77,81,76,82,80,79
