Month,All_airports,Gdańsk,Kraków,Katowice,Modlin,Poznań,Rzeszów,Warszawa,Wrocław
Mar_15,-82.47,-86.21,-75.46,-70.42,-94.92,-97.78,-85,-81.46,-90
Mar_22,-89.3,-97.2,-92.9,-87.3,-89.6,-90.4,-100,-84.4,-90.4
Mar_30,-91,-87,-92,-89,-100,-82,-91,-93,-86
Apr_9,-94,-94,-95,-91,-96,-95,-100,-96,-87
Apr_28,-93,-94,-93,-88,-95,-87,-100,-93,-94
May_24,-96,-96,-100,-92,-100,-99,-100,-96,-90
Jun_21,-84,-78,-87,-86,-94,-77,-80,-85,-85
Jul_26,-53,-49,-54,-52,-52,-46,-48,-58,-51
Aug_23,-46,-34,-47,-43,-41,-43,-51,-53,-43
Sep_28,-53,-49,-54,-52,-48,-47,-44,-58,-50
Oct_25,-58,-54,-64,-54,-42,-55,-39,-63,-54
Nov_23,-72,-67,-79,-64,-67,-73,-63,-73,-72
