city_of_the_United_States,Poverty_rate
McAllen-Edinburg-Mission_TX,27.3
Monroe_LA,26.0
Las_Cruces_NM,25.9
Brownsville-Harlingen_TX,25.6
El_Centro_CA,25.1
Pine_Bluff_AR,23.6
Blacksburg-Christiansburg_VA,22.9
Hammond_LA,22.9
Muncie_IN,22.8
Albany_GA,22.6
Hattiesburg_MS,22.5
Shreveport-Bossier_City_LA,22.2
Yuma_AZ,21.4
Farmington_NM,21.2
Bloomington_IN,20.9
Valdosta_GA,20.9
Fresno_CA,20.6
College_Station-Bryan_TX,20.5
Laredo_TX,20.5
Tallahassee_FL,20.5
Lake_Charles_LA,20.4
Athens-Clarke_County_GA,20.2
Morgantown_WV,20.1
Champaign-Urbana_IL,20.0
Gadsden_AL,19.7
Greenville_NC,19.6
Houma-Thibodaux_LA,19.5
Fort_Smith_AR-OK,19.4
Goldsboro_NC,19.4
Sumter_SC,19.4
Macon-Bibb_County_GA,19.2
Bakersfield_CA,19.1
Saginaw_MI,19.0
Jonesboro_AR,18.9
Visalia_CA,18.8
Waco_TX,18.8
El_Paso_TX,18.7
Dothan_AL,18.6
Manhattan_KS,18.6
Gainesville_FL,18.5
Lafayette_LA,18.4
Columbia_MO,18.3
Lubbock_TX,18.3
Carbondale-Marion_IL,18.1
Joplin_MO,18.0
Terre_Haute_IN,18.0
Beckley_WV,17.9
Corvallis_OR,17.9
Fayetteville_NC,17.9
Ithaca_NY,17.9
