Response,Percentage_of_state_population
Puerto_Rico,98.15
New_Mexico,49.26
Texas,39.75
California,39.42
Arizona,31.74
Nevada,29.24
Florida,26.37
Colorado,21.83
New_Jersey,20.91
New_York,19.27
United_States,18.43
Illinois,17.49
Connecticut,16.86
Rhode_Island,16.3
Utah,14.41
Oregon,13.44
Washington,13.02
Idaho,12.84
Massachusetts,12.39
Kansas,12.18
Nebraska,11.35
District_of_Columbia,11.26
Oklahoma,11.07
Hawaii,10.66
Maryland,10.64
Wyoming,10.13
Georgia,9.82
North_Carolina,9.75
Virginia,9.7
Delaware,9.59
Pennsylvania,7.79
Arkansas,7.69
Indiana,7.21
Alaska,7.18
Wisconsin,7.09
Iowa,6.26
South_Carolina,5.8
Tennessee,5.7
Minnesota,5.57
Louisiana,5.38
Michigan,5.27
Alabama,4.47
Missouri,4.31
North_Dakota,4
Ohio,4
New_Hampshire,3.98
Montana,3.77
Kentucky,3.76
South_Dakota,3.73
Mississippi,3.03
Vermont,1.99
Maine,1.72
West_Virginia,1.5
