Month,Index_number_of_sales_per_week
Jun_20,127.5
May_20,94.9
Apr_20,85.6
Mar_20,120.0
Feb_20,117.2
Jan_20,114.9
Dec_19,120.1
Nov_19,119.1
Oct_19,114.4
Sep_19,121.1
Aug_19,109.3
Jul_19,110.3
Jun_19,105.6
May_19,110.5
Apr_19,108.1
Mar_19,119.6
Feb_19,106.2
Jan_19,105.4
Dec_18,102.9
Nov_18,113.1
Oct_18,107.5
Sep_18,108.0
Aug_18,111.6
Jul_18,108.0
Jun_18,107.9
May_18,106.7
Apr_18,109.2
Mar_18,106.8
Feb_18,106.1
Jan_18,107.0
Dec_17,104.5
Nov_17,108.6
Oct_17,106.1
Sep_17,104.4
Aug_17,106.7
Jul_17,105.3
Jun_17,105.7
May_17,101.0
Apr_17,104.4
Mar_17,104.6
Feb_17,103.5
Jan_17,103.8
Dec_16,100.8
Nov_16,100.4
Oct_16,101.4
Sep_16,102.7
Aug_16,98.6
July_16,102.1
June_16,102.7
May_16,107.3
April_16,90.4
Mar_16,96.4
Feb_16,98.5
Jan_16,98.2
