Response,Share_of_respondents
A_feeling_of_powerlessness_in_my_ability_to_respond_to_abuse_or_harassment_online,66
Not_being_able_to_sleep_well,63
Lower_self-esteem_or_a_loss_of_self_confidence,61
A_feeling_of_apprehension_when_thinking_about_using_the_internet_or_social_media,58
Less_able_to_focus_on_everyday_tasks,56
Experiencing_panic_attacks_anxiety_or_stress,55
A_feeling_of_isolation_or_a_need_to_withdraw_into_yourself,54
A_feeling_of_apprehension_when_receiving_emails_or_social_media_notifications,54
Experiencing_mood_swings,53
Not_being_able_to_accomplish_what_you_usually_would_on_a_typical_day,46
Being_unable_to_concentrate_for_long_periods_of_time,46
Less_able_to_make_day-to-day_decisions,36
