Month,Actual,Forecast
Dec_'20,50.8,50.0
Nov_'20,50.8,51.1
Oct_'20,50.8,52.4
Sep_'20,50.6,52.9
Aug_'20,52.8,50.0
Jul_'20,47.2,46.5
Jun_'20,40.6,35.6
May_'20,31.9,34.6
Apr_'20,42.4,45.2
Mar_'20,48.2,48.0
Feb_'20,47.4,48.3
Jan_'20,48.0,46.8
Dec_'19,46.7,46.6
Nov_'19,45.6,48.1
Oct_'19,47.8,47.9
Sep_'19,48.8,47.6
Aug_'19,47.4,48.0
Jul_'19,48.4,48.9
Jun_'19,48.8,49.0
May_'19,49.0,48.8
Apr_'19,48.7,47.6
Mar_'19,47.6,48.2
Feb_'19,48.2,47.8
Jan_'19,47.6,49.8
Dec_'18,49.5,50.4
Nov_'18,50.4,50.1
Oct_'18,50.5,51.5
Sep_'18,51.4,53.0
Aug_'18,52.9,54.2
Jul_'18,54.2,53.1
Jun_'18,53.3,53.3
May_'18,53.9,53.2
Apr_'18,53.7,53.2
Mar_'18,53.7,54.1
Feb_'18,54.6,55.3
Jan_'18,55.0,54.7
