department_or_service,Percentage_change_from_2017
Environmental_Protection_Agency,-31
State_Department,-29
Agriculture_Department,-21
Labor_Department,-21
Department_of_Health_and_Human_Services,-18
Commerce_Department,-16
Education_Department,-14
Department_of_Housing_and_Urban_Development,-13
Transportation_Department,-13
Interior_Department,-12
Energy_Department,-6
Small_Business_Administration,-5
Treasury_Department,-4
Justice_Department,-4
NASA,-1
Department_of_Veterans_Affairs,6
Department_of_Homeland_Security,7
Defense_Department,9
