Country,Median_fees_in_U.S_dollars
Canada,34122.5$
Switzerland,31625$
Germany,31625$
Armenia,29100$
Guatemala,26622.5$
Netherlands,25812.5$
Mongolia,23450$
Albania,23100$
Macedonia_North,22805$
Lithuania,21000$
Haiti,20274$
Poland,20153.5$
Kyrgyzstan,19155$
Azerbaijan,19140$
Hungary,18900$
Burkina_Faso,18810$
Georgia,18800$
Kazakhstan,18750$
Romania,17212.5$
Costa_Rica,16680$
Burundi,16650$
Ireland,15937.5$
El_Salvador,15919.5$
India,15750$
China,15725$
South_Africa,15600$
Mexico,15000$
Moldova,15000$
Peru,14755$
Latvia,14600$
Panama,14527.5$
Brazil,14525$
Colombia,14410$
Bulgaria,14025$
Vietnam,13372.5$
Thailand,13145$
Sri_Lanka,12750$
Madagascar,12000$
Lesotho,12000$
Ghana,11915$
Czech_Republic,11600$
United_States,11155$
United_Kingdom,11000$
Rwanda,9670$
Guinea,8950$
Dominican__Republic,8700$
Philippines,8575$
Croatia,8500$
Ecuador,8500$
Belize,8200$
Hong_Kong_SAR,6675$
Kenya,6250$
Serbia,5530$
Togo,3500$
