Response,Percentage_of_respondents
Lack_of_employee_engagement_(i.e._low_paticipation_or_interest_in_programs),57
Too_many_other_demands_on_employees,34
Lack_of_evidience_about_which_practices_work_best,23
Lack_of_adequate_budget_to_support_effective_health_management_programs,22
Lack_of_sufficient_financial_incentives_to_encourage_participation_in_programs,20
Lack_of_organizational_structure_to_support_it,18
Not_enought_time_on_the_part_of_the_employees,18
Lack_of_adequate_internal_staff,17
Lack_of_senior_management_support,16
Lack_of_appropriate_tools_to_be_succesful,16
Poor_or_inadequate_communication_of_health_management_programs,13
Lack_of_actionable_data,13
Poor_coordination_with_partners_(e.g._vendors_health_plan),9
Regulatory_limitations_and_uncertainty_surrounding_wellness_incentives,5
