Country,FDI_in_million_Canadian_dollars
United_States,455073
Netherlands,123861
United_Kingdom,62349
Luxembourg,56022
Switzerland,51749
Japan,33638
People's_Republic_of_China,21194
Hong_Kong,20929
Germany,18106
Brazil,15376
France,14804
Bermuda,13251
Australia,11183
Ireland,7718
Cayman_Islands,7713
Spain,6372
Belgium,5629
British_Virgin_Islands,5365
Norway,5166
United_Arab_Emirates,4285
South_Korea,3230
Italy,2936
Poland,2849
Barbados,2793
Mexico,2352
Sweden,2348
Kuwait,2210
South_Africa,2010
Hungary,1982
Russian_Federation,1598
Chile,1242
Kyrgyzstan,1059
India,971
Nigeria,934
Denmark,882
Cyprus,766
Malta,728
Finland,647
Israel,330
Austria,294
Singapore,242
New_Zealand,205
Venezuela,200
Taiwan,132
Peru,123
Indonesia,116
Liberia,96
Malaysia,93
Portugal,83
Thailand,79
Argentina,73
Mauritius,38
Panama,18
Morocco,1
Lebanon,-1
Costa_Rica,-1
Colombia,-2
Syrian_Arab_Republic,-2
Congo_Democratic_Republic_of_the,-2
Iceland,-3
Philippines,-4
Uruguay,-26
Bahamas,-64
