Month,Cumulative_number_of_patients_in_ICU
Dec_20,544
Dec_19,541
Dec_18,547
Dec_17,562
Dec_16,571
Dec_15,594
Dec_14,615
Dec_13,617
Dec_12,627
Dec_11,646
Dec_10,658
Dec_9,662
Dec_8,677
Dec_7,724
Dec_6,743
Dec_5,758
Dec_4,789
Dec_3,786
Dec_2,829
Dec_1,854
Nov_30,900
Nov_29,904
Nov_28,947
Nov_27,998
Nov_26,1034
Nov_25,1071
Nov_24,1105
Nov_23,1169
Nov_22,1194
Nov_21,1201
Nov_20,1256
Nov_19,1286
Nov_18,1323
Nov_17,1356
Nov_16,1408
Nov_15,1439
Nov_14,1423
Nov_13,1457
Nov_12,1456
Nov_11,1463
Nov_10,1470
Nov_9,1474
Nov_8,1470
Nov_7,1464
Nov_6,1459
Nov_5,1428
Nov_4,1412
Nov_3,1353
Nov_2,1302
Nov_1,1223
Oct_31,1161
Oct_30,1105
Oct_29,1057
Oct_28,994
Oct_27,912
Oct_26,809
Oct_25,756
Oct_24,694
Oct_23,633
Oct_22,573
Oct_21,525
Oct_20,486
Oct_19,446
Oct_18,412
Oct_17,384
Oct_16,358
Oct_15,327
Oct_14,313
Oct_13,281
Oct_12,268
Oct_11,243
Oct_10,226
Oct_9,212
Oct_8,213
Oct_7,201
Oct_6,189
Oct_5,195
Oct_4,186
Oct_3,185
Oct_2,163
Oct_1,156
Sep_30,157
Sep_29,150
Sep_28,140
Sep_27,135
Sep_26,120
Sep_25,109
Sep_24,104
Sep_23,95
Sep_22,94
Sep_21,87
Sep_20,77
Sep_19,78
Sep_18,78
Sep_17,69
Sep_16,74
Sep_15,67
Sep_14,72
Sep_13,71
Sep_12,68
Sep_11,67
Sep_10,65
Sep_9,60
Sep_8,59
Sep_7,52
Sep_6,53
Sep_5,53
Sep_4,52
Sep_3,58
Sep_2,60
Sep_1,68
Aug_31,74
Aug_30,71
Aug_29,72
Aug_28,77
Aug_27,82
Aug_26,81
Aug_25,85
Aug_24,89
Aug_23,87
Aug_22,85
Aug_21,84
Aug_20,82
Aug_19,83
Aug_18,89
Aug_17,91
Aug_16,86
Aug_15,82
Aug_14,80
Aug_13,74
Aug_12,76
Aug_11,77
Aug_10,73
Aug_9,69
Aug_8,67
Aug_7,69
Aug_6,65
Aug_5,61
Aug_4,63
Aug_3,54
Aug_2,58
Aug_1,56
Jul_31,48
Jul_30,42
Jul_29,47
Jul_28,49
Jul_27,52
Jul_26,47
Jul_25,44
Jul_24,41
Jul_23,40
Jul_22,41
Jul_21,33
Jul_20,36
Jul_19,31
Jul_18,30
Jul_17,28
Jul_16,28
Jul_15,27
Jul_14,27
Jul_13,23
Jul_12,27
Jul_11,28
Jul_10,32
Jul_9,36
Jul_8,32
Jul_7,32
Jul_6,27
Jul_5,30
Jul_4,29
Jul_3,32
Jul_2,35
Jul_1,36
Jun_30,37
Jun_29,41
Jun_28,36
Jun_27,34
Jun_26,36
Jun_25,38
Jun_24,40
Jun_23,41
Jun_22,42
Jun_21,50
Jun_20,53
Jun_19,50
Jun_18,52
Jun_17,60
Jun_16,67
Jun_15,76
Jun_14,85
Jun_13,82
Jun_12,88
Jun_11,89
Jun_10,99
Jun_9,102
Jun_8,115
Jun_7,116
Jun_6,111
Jun_5,121
Jun_4,137
Jun_3,145
Jun_2,172
Jun_1,166
May_31,168
May_30,173
May_29,187
May_28,208
May_27,220
May_26,249
May_25,251
May_24,256
May_23,259
May_22,268
May_21,277
May_20,313
May_19,345
May_18,342
May_17,371
May_16,364
May_15,380
May_14,407
May_13,420
May_12,465
May_11,478
May_10,476
May_9,502
May_8,508
May_7,538
May_6,646
May_5,646
May_4,655
May_3,674
May_2,689
May_1,740
Apr_30,769
Apr_29,797
Apr_28,876
Apr_27,903
Apr_26,891
Apr_25,934
Apr_24,970
Apr_23,993
Apr_22,1020
Apr_21,1079
Apr_20,1071
Apr_19,1081
Apr_18,1119
Apr_17,1140
Apr_16,1182
Apr_15,1204
Apr_14,1223
Apr_13,1234
Apr_12,1223
Apr_11,1262
Apr_10,1278
Apr_9,1285
Apr_8,1276
Apr_7,1260
Apr_6,1257
Apr_5,1261
Apr_4,1245
Apr_3,1205
Apr_2,1144
Apr_1,1088
Mar_31,1021
Mar_30,927
Mar_29,867
Mar_28,789
Mar_27,690
Mar_26,605
Mar_25,474
Mar_24,381
Mar_23,322
Mar_22,290
Mar_21,238
Mar_20,164
