Month,Sales_index
Apr_26,494
Apr_25,497
Apr_24,502
Apr_23,513
Apr_22,530
Apr_21,561
Apr_20,582
Apr_19,609
Apr_18,639
Apr_17,683
Apr_16,729
Apr_15,685
Apr_14,706
Apr_13,726
Apr_12,785
Apr_11,831
Apr_10,863
Apr_9,904
Apr_8,1012
Apr_7,1060
Apr_6,1102
Apr_5,1124
Apr_4,1154
Apr_3,1190
Apr_2,1241
Apr_1,1333
Mar_31,1410
Mar_30,1437
Mar_29,1440
Mar_28,1441
Mar_27,1440
Mar_26,1352
Mar_25,1214
Mar_24,1054
Mar_23,922
Mar_22,811
Mar_21,688
Mar_20,543
Mar_19,439
Mar_18,378
Mar_17,315
Mar_16,266
Mar_15,215
Mar_14,177
Mar_13,154
Mar_12,143
Mar_11,133
Mar_10,128
Mar_9,122
Mar_8,115
Mar_7,108
Mar_6,105
Mar_5,104
Mar_4,100
Mar_3,96
Mar_2,98
Mar_1,96
