State,Number_of_murder_victims
California,1690
Texas,1409
Florida,1122
Illinois,832
Pennsylvania,669
Georgia,654
North_Carolina,632
Missouri,568
New_York,558
Michigan,556
Louisiana,544
Maryland,542
Ohio,538
Tennessee,498
South_Carolina,464
Virginia,426
Indiana,377
Arizona,365
Alabama,358
Mississippi,332
Oklahoma,266
New_Jersey,262
Arkansas,242
Kentucky,221
Colorado,218
Washington,198
New_Mexico,181
Wisconsin,175
District_of_Columbia,166
Massachusetts,152
Nevada,143
Minnesota,117
Oregon,116
Kansas,105
Connecticut,104
West_Virginia,78
Utah,72
Alaska,69
Iowa,60
Hawaii,48
Delaware,48
Nebraska,45
Idaho,35
New_Hampshire,33
Montana,27
Rhode_Island,25
North_Dakota,24
Maine,20
South_Dakota,17
Wyoming,13
Vermont,11
