studio_album,Number_of_units_sold_in_thousands
NSYNC_-_'No_Strings_Attached'_(2000),9936
Linkin_Park_-_'Hybrid_Theory'_(2001),4813
Eminem_-_'The_Eminem_Show'_(2002),7608
50_Cent_-_'Get_Rich_or_Die_Tryin'_(2003),6536
Usher_-_'Confessions'_(2004),7979
Mariah_Carey_-_'The_Emancipation_of_Mimi'_(2005),4969
High_School_Musical_-_Soundtrack_(2006),3719
Josh_Groban_-_'Noël'_(2007),3699
Lil_Wayne_-_'Tha_Carter_III'_(2008),2880
Taylor_Swift_-_'Fearless'_(2009),3217
Eminem_-_'Recovery'_(2010),3415
Adele_-_'21'_(2011_and_2012),5824
Justin_Timberlake_-_'The_20/20_Experience'_(2013),2430
Taylor_Swift_-_'1989'_(2014),3661
Adele_-_'25'_(2015),8008
Drake_-_'Views'_(2016),4140
Ed_Sheeran_-_'÷'_(2017),2764
