Month,Percentage_change
Jun_20,73.4
May_20,59
Apr_20,33
Mar_20,12.6
Feb_20,6.3
Jan_20,7.8
Dec_19,11.8
Nov_19,-0.7
Oct_19,8.8
Sep_19,8.4
Aug_19,11.6
Jul_19,13.6
Jun_19,8.5
May_19,9
Apr_19,14.4
Mar_19,14.4
Feb_19,13.7
Jan_19,13.5
Dec_18,13
Nov_18,13
Oct_18,13
Sep_18,11.8
Aug_18,14
Jul_18,16
Jun_18,15.7
May_18,21.2
Apr_18,13
Mar_18,16.5
Feb_18,15.3
Jan_18,13.6
Dec_17,9
Nov_17,10.1
Oct_17,9.6
Sep_17,13.6
Aug_17,19
Jul_17,20.1
Jun_17,20.1
May_17,17.1
Apr_17,22.1
Mar_17,24.3
Feb_17,22.2
Jan_17,16.1
Dec_16,30.1
Nov_16,28.4
Oct_16,30
Sep_16,25.8
Aug_16,23.6
Jul_16,17.8
Jun_16,17.2
May_16,19.6
Apr_16,12.9
Mar_16,11.6
Feb_16,12.4
Jan_16,13.8
Dec_15,8.4
Nov_15,14.9
Oct_15,11.6
Sep_15,14.4
Aug_15,8.7
Jul_15,13.2
Jun_15,13.9
May_15,9.4
Apr_15,14.3
Mar_15,12.5
Feb_15,11.4
Jan_15,19.3
Dec_14,11.1
Nov_14,19.7
Oct_14,12
Sep_14,10.1
Aug_14,13.7
Jul_14,14.8
Jun_14,15
May_14,16.6
Apr_14,15
Mar_14,9.1
Feb_14,11.9
Jan_14,11
Dec_13,13.5
Nov_13,17.5
Oct_13,17.8
Sep_13,17.4
Aug_13,21.7
Jul_13,10.2
Jun_13,18.1
May_13,10.7
Apr_13,13.9
Mar_13,18.8
Feb_13,12.9
Jan_13,12.8
