Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Manufacturing,90.02
Finance_insurance_real_estate_rental_and_leasing,77.97
Professional_and_business_services,66.36
Government_and_government_enterprises,46.65
Educational_services_health_care_and_social_assistance,44.94
Wholesale_trade,30.82
Retail_trade,30.52
Construction,16.82
Arts_entertainment_recreation_accommodation_and_food_services,15.37
Information,15.06
Transportation_and_warehousing,12.53
Other_services_(except_government_and_government_enterprises),10.06
Utilities,8.63
Agriculture_forestry_fishing_and_hunting,4.34
Mining_quarrying_and_oil_and_gas_extraction,2.34
