player,Number_of_matches
Lothar_Matthäus,150
Miroslav_Klose,137
Lukas_Podolski,130
Bastian_Schweinsteiger,121
Philipp_Lahm,113
Jürgen_Klinsmann,108
Jürgen_Kohler,105
Dixie_Dörner,105
Joachim_Streich,105
Per_Mertesacker,104
Franz_Beckenbauer,103
Jürgen_Croy,102
Thomas_Häßler,101
Toni_Kroos,101
Ulf_Kirsten,100
Thomas_Müller,100
Michael_Ballack,98
Berti_Vogts,96
Manuel_Neuer,96
Sepp_Maier,95
Karl-Heinz_Rummenigge,95
Konrad_Weise,94
Mesut_Özil,92
Rudi_Völler,90
Oliver_Kahn,86
Andreas_Brehme,86
Andreas_Möller,85
Arne_Friedrich,82
Bernd_Schneider,81
Wolfgang_Overath,81
Karlheinz_Förster,81
Torsten_Frings,79
Mario_Gomez,78
Sami_Khedira,77
Jérôme_Boateng,76
Toni_Schumacher,76
Guido_Buchwald,76
Eberhard_Vogel,76
Bernd_Bransch,76
Matthias_Sammer,74
Pierre_Littbarski,73
Christian_Ziege,72
Uwe_Seeler,72
Hans-Peter_Briegel,72
Lothar_Kurbjuweit,72
Paul_Janes,71
Martin_Hoffmann,71
Mats_Hummels,70
Oliver_Bierhoff,70
Peter_Ducke,70
