Basketball_team,Concession_stand_price_in_U.S._dollars
New_York_Knicks_(21),10.5
Phoenix_Suns_(24),10.25
Detroit_Pistons_(24),9.5
Minnesota_Timberwolves_(20),9.5
Atlanta_Hawks_(24),9.0
Brooklyn_Nets_(16),8.5
Los_Angeles_Lakers_(20),8.5
Boston_Celtics_(16),8.5
Philadelphia_76ers_(20),8.5
Los_Angeles_Clippers_(18),8.25
Miami_Heat_(24),8.0
Washington_Wizards_(20),8.0
Chicago_Bulls_(16),8.0
Utah_Jazz_(20),7.5
Memphis_Grizzlies_(16),7.5
Indiana_Pacers_(20),7.5
NBA_League_Average,7.5
Toronto_Raptors_(16),7.27
Houston_Rockets_(16),7.25
Golden_State_Warriors_(12),7.0
New_Orleans_Pelicans_(20),7.0
Sacramento_Kings_(20),7.0
Portland_Trail_Blazers_(16),7.0
Denver_Nuggets_(12),6.75
Milwaukee_Bucks_(16),6.5
Charlotte_Hornets_(16),6.5
Orlando_Magic_(16),5.75
San_Antonio_Spurs_(16),5.5
Dallas_Mavericks_(12),5.0
Oklahoma_City_Thunder_(16),5.0
Cleveland_Cavaliers_(12),4.0
