medical_specialty,Number_of_companies
Digital_health,491
Assistive_technology,347
In_vitro_diagnostic_technology,253
Single_use_technology,221
Re-usable_diagnostic_or_analytic_equipment,194
Hospital_hardware,179
Orthopaedic_devices,152
Mobility_access,140
Dental_and_maxillofacial_technology,127
Surgical_instruments_(re-usable),124
Infection_control,113
Wound_care_and_management,110
Medical_imaging/ultrasound_equipment_and_materials,108
Ophthalmic_devices/equipment,84
Anaesthetic_and_respiratory_technology,82
Cardiovascular_and_vascular_devices,66
Drug_delivery,49
Neurology,31
Radiotherapy_equipment,23
Implantable_devices,21
