Response,Percentage_of_counties_present
United_Methodist_Church,95.2
Catholic_Church,94.2
Southern_Baptist_Convention,86
Non-denominational_Christian_Churches,84.8
Assemblies_of_God,81.5
Bahá'í,80.6
Churches_of_Christ,77.2
Presbyterian_Church_(U.S.A.),75
Jehovah's_Witnesses,70.7
Episcopal_Church,65.2
Church_of_Jesus_Christ_of_Latter-day_Saints,59.6
Seventh-day_Adventist_Church,58.1
Lutheran_Church--Missouri_Synod,57.4
Church_of_the_Nazarene,56.2
Evangelical_Lutheran_Church_in_America,55.3
United_Pentecostal_Church_International,53.5
Church_of_God_(Cleveland_Tennessee),50.8
Christian_Churches_and_Churches_of_Christ,50.3
Christian_Church_(Disciples_of_Christ),40.7
United_Church_of_Christ,37.2
