Country,Gold,Silver,Bronze
Russia,7,15,11
Ukraine,2,4,5
Belarus,2,3,6
United_States,6,1,3
Kazakhstan,5,2,2
Bulgaria,4,2,1
Turkey,1,4,0
Hungary,2,2,0
China,3,0,1
Uzbekistan,2,1,1
Sweden,0,1,2
Armenia,0,0,3
Moldova,0,0,3
Germany,2,0,0
Romania,1,0,1
Azerbaijan,0,1,1
NorthKorea,0,1,1
Greece,0,0,2
Bahrain,1,0,0
Canada,1,0,0
Ireland,1,0,0
Jamaica,1,0,0
Poland,1,0,0
Cuba,0,1,0
Finland,0,1,0
Georgia,0,1,0
Italy,0,1,0
Lithuania,0,1,0
Mongolia,0,1,0
Kyrgyzstan,0,0,1
Netherlands,0,0,1
Norway,0,0,1
Spain,0,0,1
Unified_Russian_Team_(1992),0,0,1
