State,Number_of_buses
California,100526
New_York,81821
Texas,70091
Florida,59235
Pennsylvania,56336
Ohio,41612
Georgia,36871
Virginia,35080
Illinois,34670
North_Carolina,32097
Tennessee,29569
Louisiana,29461
Missouri,27220
New_Jersey,26021
Washington,24563
Maryland,23056
Indiana,21195
Minnesota,20039
Oregon,17654
South_Carolina,17652
Wisconsin,14953
Massachusetts,13751
Nebraska,13605
Colorado,13485
Arkansas,12032
Connecticut,11729
Kentucky,10803
Iowa,9431
Michigan,8945
Alaska,8645
Arizona,8407
Mississippi,7429
Kansas,6572
Utah,6591
Alabama,5592
New_Mexico,5543
District_of_Columbia,5403
Montana,5114
Maine,4598
Nevada,4298
Wyoming,4101
Idaho,3870
Delaware,3830
North_Dakota,3503
West_Virginia,3186
New_Hampshire,3096
Hawaii,2882
Oklahoma,2857
South_Dakota,2658
Rhode_Island,2245
Vermont,1090
