Sports_league_TV_contract,Amount_in_billion_U.S._dollars_per_year
National_Football_League_(NBC_Fox_ESPN)_(2014-2022),6.0
FIFA_World_Cup_(Fox_NBC_SBS_Bell)_(2018-2022),4.8
English_Premier_League_(BT_Sports_Sky_Sports)_(2016-2019),2.6
National_Basketball_Association_(TNT_ESPN)_(2016-2024),2.6
Major_League_Basketball_(TBS_ESPN_Fox)_(2014-2021),1.6
Rio_Summer_Olympics_(NBC)_(2016-2020),1.33
Bundesliga_(Sky_Eurosport)_(2017-2021),1.3
UEFA_European_Cup_(Lagardès_CAA_etc.)_(2016),1.1
La_Liga_(Vodafone_Mediapro_Telefónica)_(2016-2019),0.99
Winter_Olympics_(NBC)_(2014-2018),0.87
