Quarter,Value_in_billion_Argentine_pesos
Q2_2020,607.0
Q1_2020,631.0
Q4_2019,672.4
Q3_2019,683.8
Q2_2019,750.2
Q1_2019,665.5
Q4_2018,679.9
Q3_2018,696.5
Q2_2018,747.4
Q1_2018,707.2
Q4_2017,724.6
Q3_2017,721.1
Q2_2017,778.4
Q1_2017,681.4
Q4_2016,693.2
Q3_2016,694.4
Q2_2016,760.7
Q1_2016,677.7
Q4_2015,703.7
Q3_2015,718.3
Q2_2015,791.2
Q1_2015,672.7
Q4_2014,686.7
Q3_2014,690.9
Q2_2014,760.6
Q1_2014,671.1
Q4_2013,706.6
Q3_2013,721.5
Q2_2013,776.5
Q1_2013,677.1
Q4_2012,707.0
Q3_2012,703.5
Q2_2012,730.8
Q1_2012,672.7
Q4_2011,703.1
Q3_2011,711.4
Q2_2011,766.3
Q1_2011,662.3
Q4_2010,668.2
Q3_2010,668.6
Q2_2010,733.7
Q1_2010,611.6
Q4_2009,615.2
Q3_2009,610.5
Q2_2009,631.2
Q1_2009,578.6
Q4_2008,613.5
Q3_2008,647.1
Q2_2008,711.4
Q1_2008,616.7
Q4_2007,625.9
Q3_2007,610.4
Q2_2007,674.6
Q1_2007,576.8
Q4_2006,572.8
Q3_2006,563.0
Q2_2006,614.1
Q1_2006,532.3
Q4_2005,522.3
Q3_2005,514.7
Q2_2005,581.7
Q1_2005,493.6
Q4_2004,484.5
Q3_2004,481.2
Q2_2004,514.4
Q1_2004,460.4
