wealthiest_individuals_and_families_in_Canada,Net_worth_in_billion_Canadian_dollars
Thomson_family_(Thomson_Reuters),41.14$
Joseph_Tsai_(Alibaba_Group),14.36$
Galen_Weston_(George_Weston_Ltd.),13.55$
Rogers_family_(Rogers_Communications),11.57$
Saputo_family_(Saputo_Inc.),10.41$
Garrett_Camp_(Uber),8.58$
Demarais_family_(Power_Corp.),8.38$
Irving_family_(Irving_Oil),7.38$
Richardson_family_(James_Richardson_&_Sons_Ltd.),6.55$
James_Pattison_(Jim_Pattison_Group),6.41$
Jeff_Skoll_(Participant_Media),6.13$
Richard_Li_(PCCW),5.99$
Azrieli_family_(real_estate),5.83$
Carlo_Fidani_(Orlando_Corp.),4.89$
Bernard_(Barry)_Sherman_(Apotex),4.77$
