Month,Sales_in_million_GBP
Jun_20,2347.7
May_20,2190.8
Apr_20,1793.0
Mar_20,1515.4
Feb_20,1321.0
Jan_20,1378.6
Dec_19,2074.3
Nov_19,1804.0
Oct_19,1449.9
Sep_19,1321.8
Aug_19,1331.6
Jul_19,1419.4
Jun_19,1353.8
May_19,1378.3
Apr_19,1348.1
Mar_19,1345.2
Feb_19,1243.2
Jan_19,1278.7
Dec_18,1854.6
Nov_18,1816.9
Oct_18,1332.9
Sep_18,1219.0
Aug_18,1192.9
July_18,1246.2
June_18,1248.2
May_18,1264.2
Apr_18,1178.2
Mar_18,1175.7
Feb_18,1093.9
Jan_18,1126.9
Dec_17,1641.6
Nov_17,1068.4
Oct_17,1179.7
Sep_17,1090.7
Aug_17,1046.7
Jul_17,1074.4
Jun_17,1078.9
May_17,1043.1
Apr_17,1042.7
Mar_17,1009.1
Feb_17,949.0
Jan_17,992.4
Dec_16,1505.6
Nov_16,1460.5
Oct_16,1076.8
Sep_16,960.5
Aug_16,879.6
Jul_16,894.2
Jun_16,898.5
May_16,890.5
Apr_16,854.0
Mar_16,811.7
Feb_16,776.5
Jan_16,854.4
