State,"Number_of_deaths_per_100,000_people"
New_Jersey,218
New_York,199
Massachusetts,185
Rhode_Island,177
Connecticut,174
North_Dakota,174
South_Dakota,171
Mississippi,167
Louisiana,164
Illinois,146
Michigan,136
Indiana,129
Pennsylvania,129
Arizona,128
Iowa,127
Arkansas,127
New_Mexico,124
District_of_Columbia,113
South_Carolina,107
Tennessee,106
Nevada,105
Georgia,104
Florida,103
Kansas,102
Maryland,101
Alabama,100
Texas,99
Minnesota,98
Missouri,97
Delaware,97
Montana,94
Wisconsin,92
Colorado,87
Nebraska,87
Idaho,82
Wyoming,80
West_Virginia,80
Ohio,79
California,70
North_Carolina,67
Oklahoma,65
Kentucky,62
Virginia,61
New_Hampshire,58
Puerto_Rico,49
Washington,47
Utah,41
Oregon,37
Alaska,30
Maine,27
Vermont,24
Hawaii,20
