Attitudes_towards_reading,2014,2015,2016,2017/18,2019
The_more_I_read_the_better_I_become,82,80.1,82,0,0
If_I_am_a_good_reader_it_means_that_I’ll_get_a_better_job_when_I_grow_up,54,54.6,60.4,55.6,55.1
I_prefer_watching_TV_to_reading,55.2,54.3,0,0,0
Reading_is_cool,40.2,42.4,48.4,41.1,40.7
I_cannot_find_things_to_read_that_interest_me,30.3,30.8,36.7,33.7,34
I_do_not_read_as_well_as_other_pupils_in_my_class,30.1,29.3,31.8,0,0
I_only_read_when_I_have_to,27.6,27.9,34,30.6,30.8
My_parents_don’t_care_whether_I_spend_any_time_reading,24.3,25.3,0,0,0
I_would_be_embarrassed_if_my_friends_saw_me__read,17.2,16.5,0,0,0
Reading_is_more_for_girls_than_boys,11.3,10.1,0,0,0
