Response,Share_of_respondents
Assessments_performed_by_internal_audit_function,68
Internal_self-assessments_by_IR_or_information_security_function,64
Assessment_by_external_party,56
Monitoring_and_evaluation_of_security_incidents_and_events,48
In_conjunction_with_the_external_financial_statement_audit,35
Benchmarking_against_peers/competition,27
Evaluation_of_information_security_operational_performance,19
Formal_certification_to_external_security_standards_(e.g._ISO/IEC_27001:2005),15
Formal_certification_to_industry_security_standards_(e.g._Payment_Card_Industry_Data_Security_Standards),15
Evaluation_of_information_security_costs,14
Evaluation_of_return_of_investment_(or_similar_such_ROSI)_performance,5
No_assessments_performed,4
