Quarter,Groningen,Friesland,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,North_Holland,South_Holland,Zeeland,North_Brabant,Limburg
Q2_2020,106,67,30,146,54,310,135,441,619,113,410,110
Q1_2020,68,157,47,91,45,301,125,496,322,397,383,181
Q4_2019,55,268,41,154,25,396,209,317,997,177,518,146
Q3_2019,82,119,76,100,53,285,146,338,514,162,371,137
Q2_2019,37,97,31,159,176,240,153,344,715,182,248,110
Q1_2019,48,185,60,112,42,192,153,420,507,172,300,128
Q4_2018,34,214,47,281,24,245,313,351,603,498,444,38
Q3_2018,46,127,19,147,27,172,148,430,258,223,229,42
Q2_2018,32,153,17,194,26,187,158,424,512,129,588,110
Q1_2018,52,83,44,102,22,266,127,405,506,135,184,91
Q4_2017,21,132,64,151,25,186,110,337,498,104,241,127
Q3_2017,31,113,6,126,209,378,300,236,399,61,188,102
Q2_2017,33,120,18,88,14,228,112,177,303,63,280,57
Q1_2017,59,154,102,79,12,190,224,311,197,186,242,46
Q4_2016,32,49,31,234,57,136,121,282,647,145,355,57
Q3_2016,39,133,23,100,39,155,226,258,458,72,159,169
Q2_2016,33,86,28,53,36,132,78,197,554,58,255,191
Q1_2016,13,41,20,200,17,129,122,190,193,100,177,69
Q4_2015,22,90,83,107,31,234,115,353,383,64,175,165
Q3_2015,18,156,45,123,24,172,116,204,188,77,184,51
Q2_2015,33,73,11,181,77,117,82,291,302,75,231,64
Q1_2015,32,99,19,69,46,186,80,315,283,101,236,95
Q4_2014,26,137,29,135,11,196,103,305,605,130,348,70
Q3_2014,29,77,19,142,148,176,37,269,406,63,172,92
Q2_2014,22,174,18,200,24,256,118,215,290,113,266,86
Q1_2014,24,92,101,150,34,145,176,388,302,133,277,103
Q4_2013,79,96,158,147,81,198,91,330,565,235,346,113
Q3_2013,81,84,30,84,72,152,135,282,313,47,254,155
Q2_2013,82,107,41,123,146,165,192,243,321,113,257,59
Q1_2013,72,100,29,203,68,213,122,291,470,150,273,73
Q4_2012,84,111,49,115,55,359,210,346,600,272,349,112
Q3_2012,157,88,59,103,67,296,101,313,487,247,229,180
Q2_2012,32,124,16,183,28,197,97,400,405,377,396,48
Q1_2012,52,155,38,168,145,198,160,290,494,103,263,91
