Highest_paid_athletes,Salary/Winnings,Endorsements
Roger_Federer_(tennis),6.3,100.0
Cristiano_Ronaldo_(soccer),60.0,45.0
Lionel_Messi_(soccer),72.0,32.0
Neymar_(soccer),70.5,25.0
LeBron_James_(basketball),28.2,60.0
Stephen_Curry_(basketball),30.4,44.0
Kevin_Durant_(basketball),28.9,35.0
Tiger_Woods_(golf),2.3,60.0
Kirk_Cousins_(football),58.0,2.5
Carson_Wentz_(football),55.1,4.0
Tyson_Fury_(boxing),50.0,7.0
Russell_Westbrook_(basketball),29.0,27.0
Lewis_Hamilton_(auto_racing),42.0,12.0
Rory_McIlroy_(golf),22.0,30.0
Jared_Goff_(football),47.0,2.0
