State,Projected_percentage_change
District_of_Columbia,22.6
North_Dakota,16.1
Washington,13.8
Nevada,11.4
Utah,11
Florida,10.8
South_Dakota,10.8
Montana,9.7
Texas,9.3
Idaho,9.1
Alaska,8.8
Nebraska,8.1
Oregon,7.3
South_Carolina,6.6
Minnesota,5.6
Hawaii,5.4
Iowa,5
Colorado,4.8
Arizona,4.4
Tennessee,4.3
Oklahoma,4
North_Carolina,4
Delaware,3.5
Arkansas,3.5
Maryland,3.1
Georgia,2.8
Virginia,2.3
U.S._Average,1.6
Indiana,0.7
Louisiana,0.3
Kentucky,-0.3
Alabama,-0.5
Kansas,-0.8
Wyoming,-1.4
Pennsylvania,-1.7
Massachusetts,-2.6
California,-2.7
New_York,-2.9
Wisconsin,-3.1
New_Jersey,-3.8
Ohio,-4.3
Rhode_Island,-4.5
Maine,-5
Illinois,-6.5
Michigan,-8.4
Mississippi,-8.6
West_Virginia,-8.9
New_Mexico,-9
Vermont,-9
New_Hampshire,-11
Connecticut,-12
Missouri,0
