hotel_chain,Net_income_in_million_U.S._dollars
Starwood_Hotels_and_Resorts,635.0
Marriott_International,626.0
Hilton_Worldwide,460.0
Shangri-La_Hotels_&_Resorts,441.1
Wyndham_Worldwide,432.0
InterContinental_Hotels_Group,420.0
Millennium_&_Copthorne_Hotels,251.9
Peninsula,220.8
Hyatt_Hotels_Corp.,207.0
Accor,191.3
Choice_Hotels_International,112.6
Mandarin_Oriental_Hotel_Group,96.8
Extended_Stay_America,82.7
China_Lodging_Group,46.2
La_Quinta_Inns_&_Suites,44.5
Home_Inns,32.1
Steigenberger_Hotel_Group,27.1
Red_Lion_Hotels_Corp.,-14.0
Orient-Express_Hotels,-31.5
Morgans_Hotel_Group,-44.1
NH_Hoteles,-54.8
Taj_Hotels_Resorts_and_Palaces,-78.7
Melia_Hotels_International,-97.9
