biotech_company,Market_capitalization_in_million_U.S._dollars
Alnylam_Pharmaceuticals,4410
Kite_Pharma,4304
Neurocine_Biosciences,3772
bluebird_bio,3713
Ultragenyx_Pharmaceutical,2828
Sage_Therapeutics,2649
Agios_Pharmaceuticals,2466
Intrexon,2353
Juno_Therapeutics,2353
Portola_Pharmaceuticals,2216
AveXis,2109
Radius_Health,1669
Spark_Therapeutics,1656
FibroGen,1575
Aerie_Therapeutics,1525
Blueprint_Medicines,1524
Array_Biopharma,1511
TherapeuticsMD,1422
Puma_Biotechnology,1375
Emergent_BioSolutions,1182
