film,Box_office_gross_in_million_U.S._dollars
Star_Wars:_Episode_VII_-_The_Force_Awakens,936.66
Avengers:_Endgame,858.37
Avatar,760.51
Black_Panther,700.43
Avengers:_Infinity_War,678.82
Titanic,659.36
Jurassic_World,652.27
The_Avengers,623.36
Star_Wars:_Episode_VIII_-_The_Last_Jedi,620.18
Incredibles_2,608.58
The_Lion_King,543.64
The_Dark_Knight,535.23
Rogue_One:_A_Star_Wars_Story,532.18
Star_Wars:_Episode_IX_-_The_Rise_of_Skywalker,515.2
Beauty_and_the_Beast,504.48
Finding_Dory,486.3
Frozen_II,477.37
Star_Wars:_Episode_I_-_The_Phantom_Menace,474.54
Star_Wars:_Episode_IV_-_A_New_Hope,461.0
Avengers:_Age_of_Ultron,459.01
